,path_name,label
0,0_without_mask.png,0
1,0_with_mask.png,1
2,1000_without_mask.png,0
3,1000_with_mask.png,1
4,1001_without_mask.png,0
5,1001_with_mask.png,1
6,1002_without_mask.png,0
7,1002_with_mask.png,1
8,1003_without_mask.png,0
9,1003_with_mask.png,1
10,1004_without_mask.png,0
11,1004_with_mask.png,1
12,1005_without_mask.png,0
13,1005_with_mask.png,1
14,1006_without_mask.png,0
15,1006_with_mask.png,1
16,1007_without_mask.png,0
17,1007_with_mask.png,1
18,1008_without_mask.png,0
19,1008_with_mask.png,1
20,1009_without_mask.png,0
21,1009_with_mask.png,1
22,100_without_mask.png,0
23,100_with_mask.png,1
24,1010_without_mask.png,0
25,1010_with_mask.png,1
26,1011_without_mask.png,0
27,1011_with_mask.png,1
28,1012_without_mask.png,0
29,1012_with_mask.png,1
30,1013_without_mask.png,0
31,1013_with_mask.png,1
32,1014_without_mask.png,0
33,1014_with_mask.png,1
34,1015_without_mask.png,0
35,1015_with_mask.png,1
36,1016_without_mask.png,0
37,1016_with_mask.png,1
38,1017_without_mask.png,0
39,1017_with_mask.png,1
40,1018_without_mask.png,0
41,1018_with_mask.png,1
42,1019_without_mask.png,0
43,1019_with_mask.png,1
44,101_without_mask.png,0
45,101_with_mask.png,1
46,1020_without_mask.png,0
47,1020_with_mask.png,1
48,1021_without_mask.png,0
49,1021_with_mask.png,1
50,1022_without_mask.png,0
51,1022_with_mask.png,1
52,1023_without_mask.png,0
53,1023_with_mask.png,1
54,1024_without_mask.png,0
55,1024_with_mask.png,1
56,1025_without_mask.png,0
57,1025_with_mask.png,1
58,1026_without_mask.png,0
59,1026_with_mask.png,1
60,1027_without_mask.png,0
61,1027_with_mask.png,1
62,1028_without_mask.png,0
63,1028_with_mask.png,1
64,1029_without_mask.png,0
65,1029_with_mask.png,1
66,102_without_mask.png,0
67,102_with_mask.png,1
68,1030_without_mask.png,0
69,1030_with_mask.png,1
70,1031_without_mask.png,0
71,1031_with_mask.png,1
72,1032_without_mask.png,0
73,1032_with_mask.png,1
74,1033_without_mask.png,0
75,1033_with_mask.png,1
76,1034_without_mask.png,0
77,1034_with_mask.png,1
78,1035_without_mask.png,0
79,1035_with_mask.png,1
80,1036_without_mask.png,0
81,1036_with_mask.png,1
82,1037_without_mask.png,0
83,1037_with_mask.png,1
84,1038_without_mask.png,0
85,1038_with_mask.png,1
86,1039_without_mask.png,0
87,1039_with_mask.png,1
88,103_without_mask.png,0
89,103_with_mask.png,1
90,1040_without_mask.png,0
91,1040_with_mask.png,1
92,1041_without_mask.png,0
93,1041_with_mask.png,1
94,1042_without_mask.png,0
95,1042_with_mask.png,1
96,1043_without_mask.png,0
97,1043_with_mask.png,1
98,1044_without_mask.png,0
